job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
E-ticaret Uzmanı,3420,2160,4670,İşletme,Bilgisayar Teknolojisi ve Programlama (MYO),İktisat,Bilgisayar Programcılığı,Dış Ticaret (MYO),Ticaret,Tekstil,Bilişim,Perakende,Ev Eşyaları,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Selçuk Üniversitesi,Kocaeli Üniversitesi,Adobe Illustrator,Adobe Photoshop,CSS,Dijital Pazarlama,E Ticaret,58,349,627,58,42
E-ticaret Yöneticisi,4600,2680,6520,İşletme,Bilgisayar Teknolojisi ve Programlama (MYO),Bilgisayar Programcılığı,Bilgisayar Mühendisliği,İktisat,Ticaret,Tekstil,Bilişim,Perakende,Ev Eşyaları,Anadolu Üniversitesi,Marmara Üniversitesi,Sakarya Üniversitesi,İstanbul Üniversitesi (İÜ),Çanakkale 18 Mart Üniversitesi,Adobe Dreamweaver,Adobe Illustrator,Adobe Photoshop,CSS,Dijital Pazarlama,34,0,313,73,28
Etkinlik Koordinatörü,5090,3000,7690,İşletme,Turizm İşletmeciliği,Turizm ve Otel İşletmeciliği (MYO),Uluslararası İlişkiler,İşletme (İngilizce),Eğlence - Kültür - Sanat,Turizm,Reklam ve Tanıtım,Eğitim,Hizmet,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,İhsan Doğramacı Bilkent Üniversitesi,İstanbul Bilgi Üniversitesi,Marmara Üniversitesi,Adobe Photoshop,AutoCAD,Bütçe planlama ve raporlama,Finansal Raporlama,Pazarlama Stratejisi,14,1,352,39,61
Etkinlik Uzmanı,4450,2570,6760,İşletme,Sosyoloji,Uluslararası İlişkiler,Ekonomi,İşletme (İngilizce),Eğitim,Sağlık,Hizmet,Reklam ve Tanıtım,Eğlence - Kültür - Sanat,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,Yeditepe Üniversitesi,Marmara Üniversitesi,Boğaziçi Üniversitesi,Mac OS,Müşteri Hizmetleri Operasyon Yönetimi,Planlama Ve Organizasyon,Proje Yönetimi,Sosyal Medya Yönetimi,13,0,93,40,60
Etkinlik ve Organizasyon Sorumlusu,4060,2710,5400,İşletme,İktisat,Halkla İlişkiler ve Tanıtım,Uluslararası İlişkiler,Turizm ve Otel İşletmeciliği (MYO),Reklam ve Tanıtım,Eğlence - Kültür - Sanat,Turizm,Hizmet,Eğitim,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Marmara Üniversitesi,İstanbul Bilgi Üniversitesi,Adobe Illustrator,Adobe Photoshop,Planlama Ve Organizasyon,Sosyal Medya Yönetimi,0,11,6,1560,49,51
Etkinlik Yöneticisi,5190,2950,7710,İşletme,Uluslararası İlişkiler,Halkla İlişkiler ve Tanıtım,Turizm - Otelcilik,Sahne ve Gösteri Sanatları Yönetimi,Reklam ve Tanıtım,Eğlence - Kültür - Sanat,Turizm,Danışmanlık,Hizmet,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Bilgi Üniversitesi,Kocaeli Üniversitesi,Adobe Illustrator,Adobe Photoshop,AutoCAD,Pazarlama Stratejisi,Proje Yönetimi,15,6,485,55,45
Etüt Öğretmeni,0,0,0,Matematik,Türk Dili ve Edebiyatı,Fen Bilgisi Öğretmenliği,Tarih,Biyoloji,Eğitim,Danışmanlık,Tekstil,Hizmet,Turizm,Anadolu Üniversitesi,Gazi Üniversitesi,Hacettepe Üniversitesi,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Adobe Photoshop,MATLAB,0,0,0,0,4,1623,20,80
Evde Bakım Hemşiresi,4650,2400,7470,Evde Hasta Bakımı Bölümü,Yaşlı Hizmetleri Bakımı (MYO),Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Hemşirelik,Sağlık,Hizmet,Sigortacılık,Eğitim,Ticaret,Adnan Menderes Üniversitesi,Anadolu Üniversitesi,Kastamonu Üniversitesi,İstanbul Üniversitesi (İÜ),Bartın Üniversitesi,Hasta Bakımı,İşçi Sağlığı ve İş Güvenliği,0,0,0,5,2,506,27,73
Expat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabrika Müdürü,9410,4690,14140,Makine Mühendisliği,Endüstri Mühendisliği,Kimya Mühendisliği,Gıda Mühendisliği,İşletme,Gıda,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Kimya,Tekstil,İstanbul Teknik Üniversitesi (İTÜ),Anadolu Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Ege Üniversitesi,Fiyat Analizleri,ISO 14000,ISO 14001,ISO 16949,ISO 9001:2000,265,156,4108,93,7
Farmakovijilans Sorumlusu,3980,3000,5360,Eczacılık,Veteriner,Endüstri Mühendisliği,Ziraat Mühendisliği,Biyoloji,Sağlık,Üretim / Endüstriyel Ürünler,Hayvancılık,Tekstil,Danışmanlık,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Ankara Üniversitesi,Anadolu Üniversitesi,Hacettepe Üniversitesi,Adobe Photoshop,0,0,0,0,4,4,79,27,73
Farsça Öğretmeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fason Takip Elemanı,4340,3000,5730,İşletme,Tekstil (MYO),Moda Tasarımı (MYO),Sosyoloji,Dış Ticaret ve Avrupa Birliği (MYO),Tekstil,Ticaret,Ev Eşyaları,Basım - Yayın,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,Trakya Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Aydın Üniversitesi,Uludağ Üniversitesi,Adobe Photoshop,Dikim,Kalite / AR-GE,SPSS,Src 2,33,21,820,83,17
Fason Takip Sorumlusu,4080,2850,5310,İşletme,Tekstil (MYO),İktisat,Kamu Yönetimi,Kimya,Tekstil,Ev Eşyaları,Ticaret,Üretim / Endüstriyel Ürünler,Kimya,Anadolu Üniversitesi,Uludağ Üniversitesi,Sakarya Üniversitesi,Pamukkale Üniversitesi,Atatürk Üniversitesi,Dikim,Planlama Ve Organizasyon,Satış Yönetimi,SRC4,TEKSTİL,25,78,1288,86,14
Fayans Ustası,4690,3000,7110,Bankacılık ve Sigortacılık,İktisat,Coğrafya,Yapı,Otomotiv,0,0,0,0,0,0,0,0,0,0,Boya,Kaba İnşaat,Üst Yapı İnşaatları,0,0,10,0,89,78,22
Felsefe Grubu Öğretmeni,2610,2020,3190,Sosyoloji,Felsefe,Felsefe Grubu Öğretmenliği,Sosyal Hizmetler,Psikoloji,Eğitim,Danışmanlık,Hizmet,Tekstil,Gıda,Sakarya Üniversitesi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Pamukkale Üniversitesi,Süleyman Demirel Üniversitesi,SPSS,0,0,0,0,29,50,2884,18,82
Felsefe Öğretmeni,2480,2070,2890,Felsefe,Sosyoloji,Felsefe Grubu Öğretmenliği,Halkla İlişkiler,Eğitim Bilimleri,Eğitim,Danışmanlık,Tekstil,Hizmet,Reklam ve Tanıtım,Sakarya Üniversitesi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Kırklareli Üniversitesi,İnsan Kaynakları,SPSS,0,0,0,12,50,716,18,82
Fen Bilgisi Öğretmeni,3070,2090,4060,Fen Bilgisi Öğretmenliği,Biyoloji,Fizik,Kimya,Fizik Öğretmenliği,Eğitim,Danışmanlık,Sağlık,Hizmet,Tekstil,Gazi Üniversitesi,Ondokuz Mayıs Üniversitesi,Manisa Celal Bayar Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Atatürk Üniversitesi,Adobe Photoshop,Proje Yönetimi,0,0,0,206,219,10105,24,76
Fen İşleri Müdürü,6330,5500,8500,İnşaat Mühendisliği,Harita Kadastro (MYO),Mimarlık,İnşaat (MYO),Çevre Mühendisliği,Yapı,Hizmet,Elektrik & Elektronik,Üretim / Endüstriyel Ürünler,Gıda,Karadeniz Teknik Üniversitesi (KTÜ),Yıldız Teknik Üniversitesi (YTÜ),Çukurova Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Harran Üniversitesi,ArcGIS,AutoCAD,Autodesk 3Ds Max,Autodesk Revit,C++,3,0,61,93,7
Fen ve Teknoloji Öğretmeni,3140,2500,3990,Fen Bilgisi Öğretmenliği,Fizik,Biyoloji,Kimya,Fizik Öğretmenliği,Eğitim,Danışmanlık,Hizmet,Sağlık,Basım - Yayın,Gazi Üniversitesi,Ondokuz Mayıs Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Atatürk Üniversitesi,Ticaret,Bilgisayar,Microsoft Office,Müzik,•	Deadline And Target Driven,9,0,3232,25,75
Ferforje Ustası,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Figüran,0,0,0,İktisat,Elektrik/Elektronik Mühendisliği,Radyo - Sinema ve Televizyon,İşletme Yönetimi,Radyo ve Televizyon,Eğlence - Kültür - Sanat,Reklam ve Tanıtım,Medya,Hizmet,Eğitim,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Akdeniz Üniversitesi,İstanbul Gelişim Üniversitesi,Adobe Photoshop,MATLAB,0,0,0,0,0,298,58,42
Finans Danışmanı,3720,2020,5800,İşletme,İktisat,Bankacılık ve Sigortacılık (MYO),Kamu Yönetimi,Maliye,Sigortacılık,Finans - Ekonomi,Danışmanlık,Yapı,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Uludağ Üniversitesi,Gazi Üniversitesi,Bankacılık/Finans,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Dış Ticaret,Finans,59,7,1587,40,60
Finans Direktörü,10930,5740,16120,İşletme,İktisat,İşletme (İngilizce),Ekonomi,İktisat (İngilizce),Yapı,Turizm,Enerji,Sağlık,Bilişim,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Boğaziçi Üniversitesi,Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,152,46,1364,70,30
Finans Genel Müdür Yardımcısı,6900,4000,12620,İşletme,İktisat,Ekonomi,Maliye,İşletme (İngilizce),Yapı,Taşımacılık,Enerji,Tekstil,Finans - Ekonomi,Marmara Üniversitesi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Boğaziçi Üniversitesi,Dokuz Eylül Üniversitesi,Bankacılık/Finans,Bütçe planlama ve raporlama,Finans,Finansal planlama/kontrol,Finansal Raporlama,16,0,108,64,36
Finans Koordinatörü,6650,3000,10430,İşletme,İktisat,Ekonomi,İşletme (İngilizce),Maliye,Yapı,Gıda,Hizmet,Finans - Ekonomi,Enerji,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Gazi Üniversitesi,Uludağ Üniversitesi,Bankacılık/Finans,Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,19,5,579,57,43
Finans Müdürü,7980,3270,12690,İşletme,İktisat,İşletme (İngilizce),Maliye,İktisat (İngilizce),Yapı,Gıda,Tekstil,Otomotiv,Maden ve Metal Sanayi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Dokuz Eylül Üniversitesi,Uludağ Üniversitesi,Bilanço analizi,Bireysel Krediler,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,331,290,4315,60,40
Finans Sorumlusu,3910,2240,5590,İşletme,İktisat,Muhasebe (MYO),Muhasebe,Maliye,Yapı,Otomotiv,Gıda,Tekstil,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Dumlupınar Üniversitesi,Marmara Üniversitesi,Bankacılık/Finans,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,270,226,4416,37,63
Finans Uzmanı,4050,2480,5620,İşletme,İktisat,Muhasebe (MYO),Maliye,Muhasebe,Yapı,Finans - Ekonomi,Otomotiv,Enerji,Gıda,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Uludağ Üniversitesi,Kocaeli Üniversitesi,Bankacılık/Finans,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,Finans,344,1,4069,38,62
Finans Yöneticisi / Yönetmeni,5950,3290,8610,İşletme,İktisat,Maliye,İşletme (İngilizce),Muhasebe (MYO),Yapı,Finans - Ekonomi,Gıda,Tekstil,Taşımacılık,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Uludağ Üniversitesi,Dokuz Eylül Üniversitesi,Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,54,208,858,51,49
Finansal Analist,6340,2540,10150,İşletme,İktisat,İşletme (İngilizce),İktisat (İngilizce),Ekonomi,Finans - Ekonomi,Danışmanlık,Sağlık,Hızlı Tüketim Malları,Otomotiv,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Boğaziçi Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Dokuz Eylül Üniversitesi,Bankacılık/Finans,Bütçe planlama ve raporlama,Finans,Finansal Analiz,Finansal planlama/kontrol,43,53,922,50,50
Finansal Danışman,3700,2020,6250,İşletme,İktisat,Bankacılık ve Sigortacılık (MYO),Bankacılık ve Sigortacılık,Kamu Yönetimi,Sigortacılık,Finans - Ekonomi,Danışmanlık,Hizmet,Sağlık,Anadolu Üniversitesi,Kocaeli Üniversitesi,Manisa Celal Bayar Üniversitesi,Selçuk Üniversitesi,Süleyman Demirel Üniversitesi,Bankacılık/Finans,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Finansal planlama/kontrol,26,52,2963,32,68
Finansal Güvence Danışmanı,3380,2060,4690,İşletme,İktisat,Bankacılık ve Sigortacılık (MYO),Bankacılık ve Sigortacılık,Kamu Yönetimi,Sigortacılık,Danışmanlık,Finans - Ekonomi,Hizmet,Tekstil,Anadolu Üniversitesi,Dumlupınar Üniversitesi,Süleyman Demirel Üniversitesi,Selçuk Üniversitesi,Akdeniz Üniversitesi,Finansal Analiz,Finansal planlama/kontrol,Finansal Risk Yönetimi,İnsan Kaynakları Yönetimi,Muhasebe,26,41,886,34,66
Finansal Kontrolör,8100,3560,12650,İşletme,İşletme (İngilizce),İktisat,İktisat (İngilizce),Ekonomi,Otomotiv,Finans - Ekonomi,Yapı,Gıda,Telekomünikasyon,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Dokuz Eylül Üniversitesi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Finansal planlama/kontrol,82,175,1319,50,50
Finansal Planlama Uzmanı,11150,8270,14950,Endüstri Mühendisliği,Ekonomi,İşletme,Ekonometri,İktisat (İngilizce),Finans - Ekonomi,Enerji,Hızlı Tüketim Malları,Sigortacılık,Gıda,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Kocaeli Üniversitesi,Bankacılık/Finans,Bütçe planlama ve raporlama,Finansal Analiz,Finansal planlama/kontrol,Finansal Raporlama,3,3,79,29,71
Finansal Raporlama Uzmanı,6730,3620,9830,İşletme,İktisat,İşletme (İngilizce),İktisat (İngilizce),Ekonomi,Finans - Ekonomi,Hizmet,Topluluklar,Yapı,Enerji,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,İhsan Doğramacı Bilkent Üniversitesi,Dokuz Eylül Üniversitesi,Anadolu Üniversitesi,Bütçe planlama ve raporlama,Finans,Finansal Analiz,Finansal planlama/kontrol,Finansal Raporlama,34,63,377,43,57
Finansman Müdürü,7090,3500,10680,İşletme,İktisat,Maliye,Kamu Yönetimi,Ekonomi,Yapı,Tekstil,Maden ve Metal Sanayi,Gıda,Otomotiv,Anadolu Üniversitesi,Dokuz Eylül Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Gazi Üniversitesi,Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatı,12,1,484,62,38
Fitness Eğitmeni,3070,2020,4320,Antrenörlük Eğitimi,Beden Eğitimi ve Spor Öğretmenliği,Spor Yöneticiliği,Rekreasyon Yönetimi,İşletme,Turizm,Eğitim,Sağlık,Hizmet,Eğlence - Kültür - Sanat,Anadolu Üniversitesi,Marmara Üniversitesi,Kocaeli Üniversitesi,Haliç Üniversitesi,İstanbul Üniversitesi (İÜ),Spor,Futbol,Yüzme,Basketbol,Fitness,56,82,5545,68,32
Fitopatoloji Teknikeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiyatlandırma Analisti,4930,3000,7250,Endüstri Mühendisliği,İşletme,Turizm İşletmeciliği,Kimya Mühendisliği,İktisat (İngilizce),Turizm,Sigortacılık,Taşımacılık,Sağlık,Enerji,İstanbul Teknik Üniversitesi (İTÜ),Beykent Üniversitesi,Kocaeli Üniversitesi,Mustafa Kemal Üniversitesi,Yeditepe Üniversitesi,Attention To Detail,C#,CRM,Depo Ve Lojistik Yönetimi,İş ve süreç analizi,9,0,55,36,64
Fiyatlandırma Uzmanı,4350,2500,6580,Endüstri Mühendisliği,İşletme,İktisat,İstatistik,İktisat (İngilizce),Taşımacılık,Sağlık,Turizm,Otomotiv,Telekomünikasyon,Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Bütçe planlama ve raporlama,Bütçeleme Analizleri,Fiyat Analizleri,İş ve süreç analizi,Pazarlama Stratejisi,34,25,330,43,57
Fiyatlandırma ve Kampanya Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiyatlandırma ve Kampanya Yöneticisi,3150,2020,6070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Fizibilite Uzmanı,5750,4800,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
Fizik Mühendisi,5180,3270,7100,Fizik Mühendisliği,Fizik,Nükleer Enerji Mühendisliği,İnşaat (MYO),Medya ve İletişim,Sağlık,Hizmet,Üretim / Endüstriyel Ürünler,Elektrik & Elektronik,Eğitim,Gaziantep Üniversitesi,Hacettepe Üniversitesi,Ankara Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Adobe Illustrator,AutoCAD,C Programming Language,CorelDraw,Kalibrasyon,7,5,171,60,40
Fizik Öğretmeni,3590,2290,4880,Fizik,Fizik Öğretmenliği,Fizik Mühendisliği,Fen Bilgisi Öğretmenliği,Fen Bilimleri,Eğitim,Danışmanlık,Hizmet,Gıda,Bilişim,İstanbul Üniversitesi (İÜ),Gazi Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Marmara Üniversitesi,Ondokuz Mayıs Üniversitesi,MATLAB,Photoshop,Proje Yönetimi,0,0,245,110,6429,42,58
Fizik Tedavi Teknikeri,2270,2020,2600,Fizik Tedavi (MYO),Fizyoterapi ve Rehabilitasyon,Fizik Tedavi ve Rehabilitasyon,Hidroterapi (MYO),Protez ve Ortez (MYO),Sağlık,Hizmet,Sigortacılık,Eğitim,Turizm,Afyon Kocatepe Üniversitesi,Ondokuz Mayıs Üniversitesi,İstanbul Aydın Üniversitesi,Üsküdar Üniversitesi,İstanbul Arel Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,66,2,3149,26,74
Fizik Tedavi Uzmanı,0,0,0,Fizik Tedavi ve Rehabilitasyon,Tıp,Fizyoterapi ve Rehabilitasyon,Çocuk Gelişimi ve Eğitimi,Beden Eğitimi ve Spor Öğretmenliği,Sağlık,Danışmanlık,Hizmet,Eğitim,Hayvancılık,İstanbul Üniversitesi (İÜ),Hacettepe Üniversitesi,Çukurova Üniversitesi,Ankara Üniversitesi,Sofya Ulusal Spor Akademisi,Basketbol Oynamak,Sinemaya Gitmek,Güler Yüz,Yüzme,Tiyatro,0,1,50,48,52
Fizik Tedavi ve Rehabilitasyon Uzmanı,12750,7500,18500,Tıp,Fizik Tedavi ve Rehabilitasyon,Fizyoterapi ve Rehabilitasyon,Fizik Tedavi (MYO),Beden Eğitimi ve Spor Öğretmenliği,Sağlık,Hizmet,Eğitim,Sigortacılık,Danışmanlık,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Hacettepe Üniversitesi,Ege Üniversitesi,Akdeniz Üniversitesi,İş Zekası,0,0,0,0,11,20,143,44,56
Fizyoterapi Teknikeri,2550,2020,3080,Fizyoterapi ve Rehabilitasyon,Fizik Tedavi (MYO),Fizik Tedavi ve Rehabilitasyon,Engelli Bakımı ve Rehabilitasyon,Hidroterapi (MYO),Sağlık,Hizmet,Sigortacılık,Eğitim,Tekstil,Biruni Üniversitesi,İstanbul Arel Üniversitesi,Nişantaşı Üniversitesi Meslek Yüksekokulu,İstanbul Aydın Üniversitesi,İstanbul Medipol Üniversitesi,Hasta İletişimi,0,0,0,0,16,0,777,39,61
Fizyoterapist,3330,2290,4360,Fizyoterapi ve Rehabilitasyon,Fizik Tedavi ve Rehabilitasyon,Fizik Tedavi (MYO),Protez ve Ortez (MYO),Tıp,Sağlık,Hizmet,Eğitim,Sigortacılık,Turizm,Hacettepe Üniversitesi,İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Dumlupınar Üniversitesi,Başkent Üniversitesi,Microsoft Office,Manuel Terapi,Müzik,Spor,Yüzme,204,22,4859,40,60
Flebotomi Uzmanı,4920,3750,7050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Fon Yöneticisi,7750,2320,17210,İşletme,İktisat,Ekonomi,Endüstri Mühendisliği,Ekonometri,Finans - Ekonomi,Danışmanlık,Sigortacılık,Topluluklar,Reklam ve Tanıtım,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,Boğaziçi Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Finans,Finansal Raporlama,Nakit Yönetimi,Oracle Uygulamaları,Satış Yönetimi,3,0,76,67,33
Forex Uzmanı,4330,3000,6070,İktisat,İşletme,Ekonomi,Sermaye Piyasası,Ekonometri,0,0,0,0,0,Anadolu Üniversitesi,Uludağ Üniversitesi,İstanbul Üniversitesi (İÜ),Kadir Has Üniversitesi,Marmara Üniversitesi,Maliyet Muhasebesi,Satış Operasyon,0,0,0,3,2,80,62,38
Forklift Operatörü,2800,2130,3460,İşletme,Elektrik (MYO),Otomotiv (MYO),Kamu Yönetimi,Makine (MYO),Taşımacılık,Otomotiv,Gıda,Üretim / Endüstriyel Ürünler,Kimya,Anadolu Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,Sakarya Üniversitesi,Atatürk Üniversitesi,Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Forklift,868,121,22599,90,10
Formen,4560,2310,6810,Elektrik (MYO),İşletme,Makine (MYO),İnşaat (MYO),Otomotiv (MYO),Yapı,Maden ve Metal Sanayi,Elektrik & Elektronik,Otomotiv,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,Kocaeli Üniversitesi,Selçuk Üniversitesi,Afyon Kocatepe Üniversitesi,Gazi Üniversitesi,AutoCAD,Elektrik,Elektrik Kumanda Panoları,Elektrik Motorları,Elektrik/Elektronik,288,17,8329,92,8
Formülasyon Uzmanı,5280,4600,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0
Fotoğraf Editörü,3950,2500,5480,Fotoğraf,Fotoğrafçılık ve Kameramanlık (MYO),Arkeoloji,Fotoğraf ve Video,Gazetecilik,Medya,Basım - Yayın,Reklam ve Tanıtım,Tekstil,Ticaret,Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,İstanbul Aydın Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Bilgisayar Destekli Tasarım Araçları,InDesign,13,1,444,66,34
Fotoğrafçı,3580,2020,5320,Fotoğrafçılık ve Kameramanlık (MYO),Fotoğraf,Radyo - Sinema ve Televizyon,İşletme,Radyo ve Televizyon Programcılığı (MYO),Reklam ve Tanıtım,Medya,Turizm,Eğlence - Kültür - Sanat,Tekstil,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Aydın Üniversitesi,Marmara Üniversitesi,Kocaeli Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Photoshop,0,122,73,6867,65,35
Fransızca Öğretmeni,3370,2400,4500,Fransızca Öğretmenliği,Fransız Dili ve Edebiyatı,Mütercim-Tercümanlık (Fransızca),Mütercim Tercümanlık,Eğitim Bilimleri,Eğitim,Tekstil,Danışmanlık,Turizm,Hizmet,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Hacettepe Üniversitesi,Gazi Üniversitesi,Anadolu Üniversitesi,Microsoft Office,Müzik,Microsoft Office Word,Tiyatro,Resim,25,3,1167,17,83
Fraud Uzmanı,4360,2070,7270,İşletme,İstatistik,İktisat,Bilgisayar Teknolojisi ve Programlama (MYO),İşletme (MYO),Finans - Ekonomi,Telekomünikasyon,Bilişim,Ticaret,Turizm,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),Marmara Üniversitesi,Çanakkale 18 Mart Üniversitesi,Bankacılık/Finans,Finansal Risk Yönetimi,İş ve süreç analizi,MS Access,MS SQL Server,26,2,195,62,38
Fraud Yöneticisi,5650,4500,8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Freze Operatörü,3460,2430,4480,Makine (MYO),Endüstriyel Kalıpçılık (MYO),Makine,İşletme,Makine Mühendisliği,Üretim / Endüstriyel Ürünler,Otomotiv,Bilişim,Maden ve Metal Sanayi,Elektrik & Elektronik,Uludağ Üniversitesi,Anadolu Üniversitesi,Kocaeli Üniversitesi,Sakarya Üniversitesi,Ege Üniversitesi,AutoCAD,Cnc Freze,Cnc operatör,Cnc Torna,Freze,27,8,447,90,10
Fuar Hostesi,0,0,0,Hukuk,İktisat,İşletme,Çalışma Ekonomisi ve Endüstri İlişkileri,Uluslararası İlişkiler,Reklam ve Tanıtım,Hizmet,Turizm,Gıda,Danışmanlık,İstanbul Üniversitesi (İÜ),Akdeniz Üniversitesi,Marmara Üniversitesi,Uludağ Üniversitesi,Beykent Üniversitesi,Adobe Illustrator,Adobe Photoshop,AutoCAD,0,0,0,0,1186,10,90
