job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Kameraman,3070,2020,4160,Radyo - Sinema ve Televizyon,Radyo ve Televizyon Programcılığı (MYO),Gazetecilik,Fotoğrafçılık ve Kameramanlık (MYO),Radyo ve Televizyon,Medya,Basım - Yayın,Eğlence - Kültür - Sanat,Reklam ve Tanıtım,Eğitim,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Selçuk Üniversitesi,Erciyes Üniversitesi,İstanbul Aydın Üniversitesi,Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Video editing,36,3,2640,88,12
Kampanya Uzmanı,7100,3750,11670,Endüstri Mühendisliği,İşletme (İngilizce),İşletme,Halkla İlişkiler ve Tanıtım,Kamu Yönetimi,Telekomünikasyon,Finans - Ekonomi,Bilişim,Danışmanlık,Perakende,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Anadolu Üniversitesi,Trakya Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),CRM,Depo Operasyon,Dijital Pazarlama,MS SQL Server,Müşteri Hizmetleri Operasyon Yönetimi,4,0,60,30,70
Kampanya Yöneticisi,0,0,0,İşletme,Endüstri Mühendisliği,İktisat,Matematik,İşletme - Ekonomi,Telekomünikasyon,Bilişim,Reklam ve Tanıtım,Finans - Ekonomi,Medya,Marmara Üniversitesi,İstanbul Aydın Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),C#,CSS,Dijital Pazarlama,İstatistik,İstatistiksel analiz,0,0,84,46,54
Kamyon Şoförü,2900,2200,3610,Kamu Yönetimi,İşletme,Elektrik (MYO),Turizm ve Otel İşletmeciliği (MYO),Halkla İlişkiler,Taşımacılık,Gıda,Yapı,Hizmet,Maden ve Metal Sanayi,Anadolu Üniversitesi,Uludağ Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Atatürk Üniversitesi,Süleyman Demirel Üniversitesi,Forklift Operatörü,Psikoteknik,Src 2,Src 4,SRC4,60,26,2178,84,16
Kanal Geliştirme Müdürü,0,0,0,İşletme,İktisat,Uluslararası İlişkiler,Endüstri Mühendisliği,İstatistik,Bilişim,Gıda,Hızlı Tüketim Malları,Enerji,Telekomünikasyon,Anadolu Üniversitesi,Marmara Üniversitesi,Uludağ Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Üniversitesi (İÜ),İş Zekası,Marka Yönetimi,Pazarlama Stratejisi,Project Management,Satış Yönetimi,0,0,70,73,27
Kanal Geliştirme Uzmanı,0,0,0,İşletme,Endüstri Mühendisliği,Uluslararası İlişkiler,İşletme (İngilizce),Pazarlama,Bilişim,Hızlı Tüketim Malları,Telekomünikasyon,Ev Eşyaları,Enerji,Yaşar  Üniversitesi,İstanbul Üniversitesi (İÜ),Sakarya Üniversitesi,Dokuz Eylül Üniversitesi,İhsan Doğramacı Bilkent Üniversitesi,Pazarlama Stratejisi,Proje Planlama,Proje Takibi,Proje Yönetimi,SAP,0,2,61,57,43
Kaplama Ustası,0,0,0,İşletme Yönetimi,Bilgisayar Bilimleri,Sivil Hava Ulaştırma İşl.,Elektronik Haberleşme (MYO),Halkla İlişkiler ve Tanıtım,Yapı,Maden ve Metal Sanayi,Otomotiv,Sağlık,Kimya,Anadolu Üniversitesi,Atatürk Üniversitesi,Uludağ Üniversitesi,Çanakkale 18 Mart Üniversitesi,Dumlupınar Üniversitesi,Bilgisayar Ağları,Bilgisayar Destekli Tasarım Araçları,İnşaat,İş Zekası,0,0,0,80,83,17
Kaporta Ustası,2860,2700,3070,Oto Boya Karoseri Doğrultma Teknikerliği (MYO),Otomotiv (MYO),Makine Resim ve Konstrüksiyon,Otomotiv,Elektrik & Elektronik,0,0,0,0,0,Çukurova Üniversitesi,Ege Üniversitesi,Bursa Teknik Üniversitesi,Namık Kemal Üniversitesi,Necmettin Erbakan Üniversitesi,Kaynak,Montaj,Otomotiv,0,0,11,20,268,88,12
Kaptan,6350,2020,11190,Güverte,Güverte (MYO),Deniz Ulaştırma İşletme Mühendisliği,İşletme,Turizm ve Otel İşletmeciliği (MYO),Denizcilik,Turizm,Taşımacılık,Gıda,Havacılık,Anadolu Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Piri Reis Üniversitesi,Karadeniz Teknik Üniversitesi (KTÜ),Elektrik/Elektronik,Satış Yönetimi,Src 2,Src 4,Yangın Algılama ve Söndürme Sistemleri,56,11,2540,92,8
Kardiyoloji Hemşiresi,2520,2020,3220,Hemşirelik (MYO),Hemşirelik ve Sağlık Hizmetleri,Hemşirelik,İlk ve Acil (Paramedik),Diyaliz (MYO),Sağlık,Hizmet,Sigortacılık,Bilişim,Topluluklar,Anadolu Üniversitesi,Gazi Üniversitesi,Ege Üniversitesi,İstanbul Üniversitesi (İÜ),İstanbul Bilim Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,4,1,624,23,77
Kardiyoloji Uzmanı,12750,9000,16830,Tıp,Dahili Tıp Bilimleri,Sağlık Eğitimi,Diş Hekimliği,Temel Tıp Bilimleri,Sağlık,Hizmet,Sigortacılık,Eğitim,Taşımacılık,Hacettepe Üniversitesi,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Ege Üniversitesi,Çukurova Üniversitesi,Tıbbi Terminoloji,0,0,0,0,18,7,286,74,26
Karikatürist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kariyer Danışmanı,3640,2350,5530,Rehberlik ve Psikolojik Danışmanlık,İşletme,İktisat,Çalışma Ekonomisi ve Endüstri İlişkileri,Psikoloji,Eğitim,Danışmanlık,Hizmet,Gıda,Bilişim,İstanbul Üniversitesi (İÜ),Anadolu Üniversitesi,Atatürk Üniversitesi,Hacettepe Üniversitesi,Gazi Üniversitesi,Firewall,İnsan Kaynakları Yönetimi,Microsoft Active Directory,MS SQL Server,TCP/IP,10,0,196,44,57
Kasiyer,2020,2020,2020,İşletme,İktisat,Kamu Yönetimi,İşletme Yönetimi,Muhasebe (MYO),Ticaret,Gıda,Tekstil,Hizmet,Turizm,Anadolu Üniversitesi,Selçuk Üniversitesi,Süleyman Demirel Üniversitesi,İstanbul Üniversitesi (İÜ),Atatürk Üniversitesi,Bilgisayar,Microsoft Office,Satış ve Pazarlama,Microsoft Office Word,Microsoft Office Excel,84,78,112386,26,74
Kategori Uzmanı,4620,2790,6440,İşletme,Endüstri Mühendisliği,İktisat,İşletme (İngilizce),Uluslararası İlişkiler,Perakende,Ticaret,Tekstil,Bilişim,Gıda,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Dijital Pazarlama,Pazarlama Stratejisi,Raporlama,SAP,Satınalma Yönetimi,41,41,470,38,62
Kategori Yöneticisi / Yönetmeni,7320,3550,11400,İşletme,Endüstri Mühendisliği,İktisat,Uluslararası İlişkiler,İşletme (İngilizce),Perakende,Ticaret,Tekstil,Bilişim,Gıda,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,Adobe Photoshop,Bütçe planlama ve raporlama,Raporlama,SAP,Satınalma Yönetimi,61,42,578,44,56
Katip,2630,2020,3330,Adalet Meslek Yüksekokulu (MYO),Adalet (MYO),İşletme,Kamu Yönetimi,İktisat,Danışmanlık,Hizmet,Turizm,Taşımacılık,Gıda,Anadolu Üniversitesi,Selçuk Üniversitesi,Atatürk Üniversitesi,Ankara Üniversitesi,Süleyman Demirel Üniversitesi,AutoCAD,Cari Hesap İşlemleri,Cari Hesap ve Finans Takibi,Dış Ticaret,Genel Muhasebe,70,0,5202,45,55
